Rechtswissenschaft	https://w3id.org/kim/hochschulfaechersystematik/n28
Rechtswissenschaft	https://w3id.org/kim/hochschulfaechersystematik/n135
Institut für Recht & Ökonomik	https://w3id.org/kim/hochschulfaechersystematik/n042
Wirtschafts- und Sozialwissenschaften	https://w3id.org/kim/hochschulfaechersystematik/n183
Volkswirtschaftslehre (VWL)	https://w3id.org/kim/hochschulfaechersystematik/n175
Sozialökonomie	https://w3id.org/kim/hochschulfaechersystematik/n148
Sozialwissenschaften	https://w3id.org/kim/hochschulfaechersystematik/n148
Fachbereichsübergreifend	https://w3id.org/kim/hochschulfaechersystematik/n3
Sonstiges (WiSo)	https://w3id.org/kim/hochschulfaechersystematik/n3
Medizin	https://w3id.org/kim/hochschulfaechersystematik/n49
Psychosomatische Medizin und Psychotherapie	https://w3id.org/kim/hochschulfaechersystematik/n49
Sexualforschung und Forensische Psychiatrie	https://w3id.org/kim/hochschulfaechersystematik/n49
Zentrum für Molekulare Neurobiologie	https://w3id.org/kim/hochschulfaechersystematik/n026
Institut für Psychotherapie	https://w3id.org/kim/hochschulfaechersystematik/n49
UKE allgemein	https://w3id.org/kim/hochschulfaechersystematik/n49
Erziehungswissenschaft	https://w3id.org/kim/hochschulfaechersystematik/n33
Erziehungswissenschaft	https://w3id.org/kim/hochschulfaechersystematik/n33
Ringvorlesungen	
Akademie der Weltreligionen	https://w3id.org/kim/hochschulfaechersystematik/n136
Geisteswissenschaften	https://w3id.org/kim/hochschulfaechersystematik/n1
Sprache, Literatur, Medien (SLM I + II)	https://w3id.org/kim/hochschulfaechersystematik/n07
Philosophie	https://w3id.org/kim/hochschulfaechersystematik/n042
Geschichte	https://w3id.org/kim/hochschulfaechersystematik/n068
Kulturgeschichte und Kulturkunde	https://w3id.org/kim/hochschulfaechersystematik/n148
Katholische Theologie	https://w3id.org/kim/hochschulfaechersystematik/n086
Asien-Afrika-Institut	https://w3id.org/kim/hochschulfaechersystematik/n13
SFB 950 Manuskriptkulturen (in Asien, Afrika und Europa)	https://w3id.org/kim/hochschulfaechersystematik/n13
Sonstiges	https://w3id.org/kim/hochschulfaechersystematik/n1
Centre for the Study of Manuscript Cultures (CSMC)	https://w3id.org/kim/hochschulfaechersystematik/n07
Cluster of Excellence ‘Understanding Written Artefacts’ (UWA)	https://w3id.org/kim/hochschulfaechersystematik/n07
Mathematik, Informatik, Naturwissenschaften	https://w3id.org/kim/hochschulfaechersystematik/n49
Mathematik	https://w3id.org/kim/hochschulfaechersystematik/n37
Informatik	https://w3id.org/kim/hochschulfaechersystematik/n079
Chemie	https://w3id.org/kim/hochschulfaechersystematik/n032
Geowissenschaften	https://w3id.org/kim/hochschulfaechersystematik/n039
Physik	https://w3id.org/kim/hochschulfaechersystematik/n0128
Biologie	https://w3id.org/kim/hochschulfaechersystematik/n026
ZNF	https://w3id.org/kim/hochschulfaechersystematik/n049
Gesundheitswissenschaften	https://w3id.org/kim/hochschulfaechersystematik/n48
MIN-Fakultät	https://w3id.org/kim/hochschulfaechersystematik/n4
Bereich Exzellenzcluster Quantum Universe	https://w3id.org/kim/hochschulfaechersystematik/n0128
KlimaCampus	https://w3id.org/kim/hochschulfaechersystematik/n4
Zentrum für Bioinformatik (ZBH)	https://w3id.org/kim/hochschulfaechersystematik/n221
Sonstiges	https://w3id.org/kim/hochschulfaechersystematik/n4
Psychologie und Bewegungswissenschaft	
Psychologie	https://w3id.org/kim/hochschulfaechersystematik/n32
Bewegungswissenschaft	https://w3id.org/kim/hochschulfaechersystematik/n029
Sonstiges	
Betriebswirtschaft	https://w3id.org/kim/hochschulfaechersystematik/n021
Betriebswirtschaftslehre (BWL)	https://w3id.org/kim/hochschulfaechersystematik/n021
Sonstiges	https://w3id.org/kim/hochschulfaechersystematik/n021
Abteilung 2	
Akademischer Senat	
Allgemeine universitäre Veranstaltungen	
Allgemeines Vorlesungswesen	
AStA	
Büro für die Belange von Studierenden mit Behinderungen oder chronischen Krankheiten	
Campus Center	
Campus Innovation und Konferenztag Digitalisierung von Lehren und Lernen	
Career Center	
Carl Friedrich von Weizsäcker-Zentrum für Naturwissenschaft und Friedensforschung	
Centrum für Naturkunde (CeNak)	
Centrum für Erdsystemforschung und Nachhaltigkeit (CEN)	
Forschungsstelle für Zeitgeschichte in Hamburg	
Geschäftsstelle Deutschlandstipendien	
Hamburg Open Online University (HOOU)	
Hamburg Open Science (HOS)	
Hamburger Zentrum für Universitäres Lehren und Lernen (HUL)	
Hans-Bredow-Institut für Medienforschung	
Hochschulsport	
Informationssicherheit	
Institut für Friedensforschung und Sicherheitspolitik an der Universität Hamburg (IFSH)	
Internationales	
Juniorstudium	
Kinderuni	
Kompetenzzentrum Nachhaltige Universität	
Konfuzius-Institut	
Medienkompetenzzentrum (MCC)	
Öffentliche Vorlesungen	
Personalentwicklung	
Regionales Rechenzentrum (RRZ)	
Staats- und Universitätsbibliothek Hamburg	
Studium und Lehre	
Studierendenparlament (StuPa)	
Über die Universität Hamburg	
UKE	
UniTV	
Universitätskolleg	
Universitäts-Gesellschaft Hamburg	
Was wie wofür studieren?	
Zentrum für nachhaltiges Forschungsdatenmanagement	
Zentrum für Weiterbildung	
Sonstiges	
HAW Hamburg - Fakultät Life Sciences	
HAW Hamburg - Fakultät Wirtschaft und Soziales	
HAW Hamburg - Fakultät Design, Medien, Information	
Heinrich-Heine-Universität Düsseldorf	
Max-Planck-Institut für Meteorologie	
Universität Oldenburg	
